,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_slim_version,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,outer_fold
4,1.090277338027954,0.09618523739700656,0.0016318798065185548,0.0004581833098137387,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.7964668459586723,-5.5438378269933395,-6.437771934453403,-8.755184516313754,-1.9583324923307037,-4.898318723209975,2.6805607232494535,1,2
5,1.1448940277099608,0.07757817874392012,0.0012267112731933593,0.0003892829579943517,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-1.7562478869607634,-6.225283752639956,-5.8019818425613074,-8.302043815370896,-16.529434454796306,-7.722998350465846,4.887211373452201,2,2
0,1.2169230461120606,0.06362387502408677,0.002316570281982422,0.00035943780029554624,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-6.894798680852201,-7.863096513883277,-10.900557829793458,-12.808724932660176,-24.69504796961195,-12.632445185360213,6.390683350833926,6,3
1,0.969437837600708,0.05932227857053556,0.0019126415252685546,0.000656071361748034,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-5.834239372169778,-6.351931897598098,-10.293159624263055,-11.59659535490124,-24.657146663977485,-11.74661458258193,6.824597535527498,4,3
2,0.9355851173400879,0.049367045115450515,0.0019129276275634765,0.00047738150520295095,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-6.853561877865892,-6.92121165727014,-10.658175193430822,-12.20411955828854,-24.67447048595627,-12.262307754562332,6.548591456025688,5,3
3,1.3638528823852538,0.046327121620016634,0.0012420177459716796,0.00038684072694629857,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-6.6988051293304505,-5.823264867292004,-6.145433035396409,-8.944774033280984,-16.175390952897107,-8.757533603639391,3.8660323836998702,3,3
4,1.0217726230621338,0.03155640527422873,0.0016033172607421875,0.0003748877665277349,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-2.1178731422192074,-5.602676645922163,-6.161539881878949,-8.8303255001598,-2.3926643882160397,-5.021015911679232,2.509439513039095,1,3
5,1.0562696933746338,0.058079981566924045,0.0011239051818847656,0.00019441955560993242,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-3.806988331564456,-4.736312199530629,-0.9445547791278522,-1.9428331581948024,-16.072553166063845,-5.500648326896316,5.4522271231939285,2,3
0,1.1519954204559326,0.061857729363374934,0.001890850067138672,0.000453328898217068,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.389220471624615,-7.879744704261048,-10.9036834265645,-12.734108544303899,-24.67089076573781,-12.715529582498373,6.29234736525993,6,4
1,0.9558464527130127,0.05015670107443555,0.0016018867492675782,0.0004929661772413888,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.748982544885531,-6.060870734272962,-10.323154552736838,-11.668833958792993,-24.657146663977485,-11.891797690933162,6.721796565276096,4,4
2,0.9943469524383545,0.06393479430642818,0.0016422748565673828,0.0005493502929288671,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.389140471361921,-7.2409108759202505,-10.626994883615621,-12.365990678993347,-24.65532388897625,-12.455672159773478,6.403859527807027,5,4
3,1.339250659942627,0.06984893315479077,0.0012562274932861328,0.00038418311461618576,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-7.295318387142749,-5.546086715268809,-5.955370828131392,-11.43391580992609,-16.32023985990964,-9.310186320075736,4.077597409859315,3,4
4,1.1129515171051025,0.1535757471290626,0.001264476776123047,0.00045326274204989805,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.187873163397329,-3.54284896854654,-6.008216101497252,-9.265927574706685,-16.165442401142016,-7.234061641857965,5.207344521767074,1,4
5,1.1007219791412353,0.03018807555813782,0.0011020660400390624,0.0006655793524717747,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-1.2642896570662612,-5.3519495884107355,-6.331581864241518,-8.56164665844392,-16.226148665118053,-7.547123286656097,4.942166855217847,2,4
0,1.2083086490631103,0.05619512580593585,0.0023129940032958984,0.00025488039373318015,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-6.877662166651905,-7.4331873516031655,-11.055342365776571,-12.950468031971043,-24.60829542004661,-12.58499106720986,6.421026877778877,6,5
1,0.9904966831207276,0.05839540186974279,0.0016028881072998047,0.000371367317812207,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-5.72404016256215,-6.002493542563146,-10.443104227008558,-11.68745999954936,-24.615966648526634,-11.69461291604197,6.878599703565609,4,5
2,1.0519123554229737,0.07419967048707851,0.001703643798828125,0.00040150364328712094,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-6.827987740162727,-6.564983112225605,-10.816261253280976,-12.322940936387637,-24.613873010014014,-12.229209210414192,6.582427449767225,5,5
3,1.411323356628418,0.04037183681162213,0.0015016555786132812,0.0004475721588677288,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-6.737940322804972,-5.5994744148418265,-6.296222426384585,-8.328657190999497,-16.461068348682144,-8.684672540742605,3.9902878704220632,3,5
4,1.1233411312103272,0.09705889542922623,0.0014576911926269531,0.0006473830917107016,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-2.1080457224985985,-3.625163532006169,-6.287311703420037,-8.418466907517852,-2.029091371485563,-4.493615847385644,2.495629612155137,1,5
5,1.1273790359497071,0.09505191126329714,0.0010526657104492187,8.787157945940929e-05,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-3.014639248154081,-3.578171776687164,-6.505931389168009,-8.347706289205409,-16.226699821731383,-7.534629704989209,4.761413020090593,2,5
0,1.1812360763549805,0.05425414323194006,0.0017026901245117188,0.00039982068084210297,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.36564786871916,-7.437096274006562,-8.652351675573998,-13.389134242725666,-24.667286654135037,-12.302303343032085,6.564098840811631,6,6
1,0.9675569057464599,0.05068184674020558,0.002126789093017578,0.00019605399684326306,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.2018799571836,-5.982274061022097,-8.3367602200227,-12.273372529468796,-24.657146663977485,-11.490286686334937,6.960310382387158,4,6
2,1.0455780506134034,0.06773795936216134,0.0016743659973144532,0.0005534044650811938,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.367323813828798,-6.9154767223326985,-8.612279128678594,-13.26621220168181,-24.67447048595627,-12.167152470495633,6.6467512967786835,5,6
3,1.3714869022369385,0.06523881597144093,0.001604461669921875,0.000490695453834023,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-7.373717859637156,-5.396257400517184,-7.898205689487478,-7.780369809964787,-16.14564316604598,-8.918838785130516,3.724526369056274,3,6
4,1.0552968025207519,0.04388890058925072,0.0013422489166259766,0.0004292561726001175,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.7829787545294447,-3.536872063771866,-6.411655100639272,-1.7620440435371594,-1.9854693301216428,-3.0958038585198766,1.784638808511823,1,6
5,1.0884104728698731,0.06160036302902841,0.0015015125274658204,0.00044553596733580444,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-2.966128880902645,-5.3167973037427645,-5.612143714165051,-8.291104861956532,-15.992957608987872,-7.635826473950973,4.506668268001162,2,6
0,1.132001781463623,0.03648774572815327,0.001972818374633789,0.0002512918522924442,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.492765403602057,-7.437096274006562,-11.005797167184205,-12.774858962564739,-24.367936053746714,-12.615690772220855,6.225665689689344,6,7
1,0.9269389629364013,0.04394505326285449,0.001500988006591797,0.00044666292869176196,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.253891685991053,-5.982274061022097,-10.376664553080618,-11.68745999954936,-24.41059611953214,-11.742177283835053,6.717949370684029,4,7
2,0.9603907108306885,0.053031144830223524,0.0018679141998291016,0.0004992103061071867,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.482985946543997,-6.9154767223326985,-9.865711243350436,-12.651094925214602,-24.37562942236415,-12.258179651961177,6.388393005363897,5,7
3,1.3142470836639404,0.04741727882038568,0.0014625072479248046,0.0005547509522114683,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-7.135672839184386,-5.359516418615129,-6.283315037426152,-8.821060936382766,-18.935525957703618,-9.307018237862412,4.9474156467301675,3,7
4,1.0253408908843995,0.06828159555735337,0.0013915061950683593,0.0003730361911825345,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-7.489441463571812,-3.8479850373944795,-6.474916539469972,-8.32018172949913,-16.515242386726683,-8.529553431332415,4.266978155365555,2,7
5,1.0935426712036134,0.05199414348155612,0.001284170150756836,0.00038607686409730804,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-2.0297801303292364,-5.79028974052639,-6.1639893476821905,-8.22114581176486,-16.60714818409082,-7.762470642878699,4.85277413844794,1,7
0,1.1693035125732423,0.058315609944728335,0.002082538604736328,0.00044760298927760164,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.359806208346837,-7.473600477481887,-10.908844591753244,-12.734108544303899,-24.67089076573781,-12.629450117524735,6.36112666257032,6,8
1,0.9205950736999512,0.04644601287305242,0.0020542144775390625,0.0003101973966241403,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.198167799101417,-5.982274061022097,-10.338280872210607,-11.668833958792993,-24.657146663977485,-11.76894067102092,6.821754662496096,4,8
2,0.9711936950683594,0.029332890685661805,0.0021187305450439454,0.0001979574171616213,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.358146552533434,-6.9154767223326985,-9.849509190949345,-12.6129833797865,-24.67447048595627,-12.28211726631165,6.5214076865692805,5,8
3,1.2691954612731933,0.1112386363647869,0.0013049125671386718,0.0004029021565583245,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-7.2782676773395565,-5.394572967524604,-5.880267931799485,-8.978485754551809,-16.203764425308503,-8.74707175130479,3.931183427872939,3,8
4,1.013150119781494,0.07037004293863124,0.0013580799102783203,0.0003899031400966805,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.7493690861539275,-5.44225170045604,-5.992842480497346,-1.276955450330494,-1.9854693301216428,-3.2893776095118903,2.0032591025602717,1,8
5,1.017959213256836,0.03191842265704996,0.0011015892028808593,0.000202372161749468,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-1.652786938121978,-5.373869423357811,-5.865260328726234,-8.56164665844392,-16.238506737150065,-7.538414017160003,4.875734222695007,2,8
0,1.1397548198699952,0.06433136211058621,0.0016024112701416016,0.00037322659985148965,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.4556835996611355,-7.450821136103316,-8.889326585534466,-13.72841396158115,-24.69504796961195,-12.443858650498402,6.545055144745559,6,9
1,0.9262068271636963,0.05497502597629759,0.001703786849975586,0.0005991761894017665,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.784384422983447,-5.988737357564898,-8.552537401806628,-12.683062104361092,-24.657146663977485,-11.73317359013871,6.863481283085852,4,9
2,0.9254282951354981,0.06855652677903802,0.0012000083923339843,0.00040004257295020516,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.449908736174939,-6.927617856602034,-8.846886846871547,-13.597631184690115,-24.67447048595627,-12.299303022058982,6.619988363748596,5,9
3,1.238665771484375,0.026079798013495144,0.0013011932373046876,0.0007483040269238546,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-6.9739823675579515,-5.358942698586029,-6.449910521770071,-9.041461476630753,-16.175390952897107,-8.799937603488383,3.8769274337959243,3,9
4,0.9528614997863769,0.056742395657706834,0.001438474655151367,0.0005339672148348155,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.916768116082856,-3.7379841868322914,-1.0889465897171509,-8.961118642436196,-1.9854693301216428,-3.538057373038027,2.8455866311614613,1,9
5,1.0123562335968017,0.07132764526890963,0.001255178451538086,0.0005087194516397936,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-1.5537665831831982,-5.078921125891122,-6.627167620033312,-9.075539818865492,-16.226148665118053,-7.712308762618235,4.906806951951407,2,9
0,1.1631617069244384,0.06891778708771888,0.00190277099609375,0.00019453561723521508,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.336825633088656,-7.181084585750977,-10.940311612165232,-12.734108544303899,-24.67089076573781,-12.572644228209315,6.411565511118017,6,10
1,0.9000125408172608,0.04156447361858667,0.0012015342712402345,0.000403337061589588,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.176783320303793,-5.982274061022097,-10.292558361019347,-11.668833958792993,-24.657146663977485,-11.755519273023143,6.827187025661945,4,10
2,0.928430700302124,0.04197047636556711,0.0016019821166992187,0.000490607215570965,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.33424485520797,-6.9154767223326985,-9.72384243712201,-12.60239181725799,-24.67447048595627,-12.250085263575388,6.534445746793353,5,10
3,1.2267205238342285,0.037688853808215475,0.001399660110473633,0.0004896680130773954,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-7.368403634388412,-5.100940535697209,-6.160904754408315,-8.934208704295758,-18.753027481928882,-9.263497022143714,4.913327861530204,3,10
4,0.9822276592254638,0.048216835692790186,0.0013509273529052734,0.00020428838039437874,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.9767585477427567,-3.302857226461224,-6.291905377384691,-1.117514274018985,-16.292069950008763,-5.7962210751232845,5.533606439611001,1,10
5,0.9936074256896973,0.058675057597579634,0.0011013031005859375,0.00020001453976555692,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-1.9679892926525342,-6.014001180868163,-6.024313602533809,-8.901088848975922,-16.36746929580429,-7.854972444166944,4.7948726738986975,2,10
0,1.159387969970703,0.05340483698440254,0.0021982669830322267,0.00031877141432286733,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.391715930469505,-7.410237685940734,-11.013859312996592,-12.734108544303899,-24.67089076573781,-12.644162447889709,6.3606656172972045,6,11
1,0.9778342723846436,0.06955832315239219,0.0016028881072998047,0.0004926202119740385,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.224373156273111,-6.012749886886795,-10.410021072959603,-11.668833958792993,-24.657146663977485,-11.794624947777997,6.809334775193453,4,11
2,0.9978715419769287,0.04623382921477509,0.0014083385467529297,0.0004972800503476874,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.390128773758838,-6.908308338588613,-9.887190946959212,-12.365990678993347,-24.65532388897625,-12.241388525455251,6.50599767296176,5,11
3,1.3312715530395507,0.07117082480107553,0.001607370376586914,0.0004828531892612585,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-7.672269566614221,-5.571204423105328,-6.225359039829044,-8.924482025312706,-16.275656418363585,-8.933794294644978,3.8506389852905705,3,11
4,1.0555829048156737,0.043970417554517846,0.001731538772583008,0.0005749425273964714,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.8604721542542928,-3.15895088371723,-6.275968336341345,-9.072302875024144,-1.9805736867453871,-4.46965358721648,2.798872684402292,1,11
5,1.112111759185791,0.05493545403617775,0.0010509014129638672,0.0006610214230554192,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-1.6502892523304145,-6.057715962121546,-6.133770286045205,-8.56164665844392,-16.238506737150065,-7.728385779218229,4.804033222417798,2,11
0,1.240349292755127,0.08490886699982851,0.002242422103881836,0.0004360824700259721,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.449214203186442,-6.938547493034141,-10.558257798805807,-12.774858962564739,-24.474741183370938,-12.439123928192412,6.382193953584573,6,12
1,0.9655218124389648,0.06032803993833549,0.0018007278442382813,0.0005116557229725221,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.78038459507322,-5.611065480921241,-10.376664553080618,-11.68745999954936,-24.493393224382718,-11.789793570601432,6.732899955201789,4,12
2,1.005827045440674,0.061661018406814434,0.0016429901123046875,0.000422290454805468,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.442611684361453,-6.443805004705859,-9.865711243350436,-12.641329445827536,-24.472340829844786,-12.173159641618014,6.511788502531137,5,12
3,1.3289535999298097,0.06208842290080589,0.001615285873413086,0.00037205593204421995,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-6.825938786830645,-5.176939576560879,-6.31589710630069,-8.56708027135946,-16.363489737942675,-8.649869095798868,4.008545468513204,3,12
4,1.031352663040161,0.0628490869030168,0.001302623748779297,0.00040288226873703856,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.638181057236355,-5.550403266463051,-6.2291500729976,-8.357529329275824,-1.9860443260882819,-4.752261610412222,2.575486001300801,1,12
5,1.0399024486541748,0.051312185979315486,0.0010005474090576173,1.1641078582509711e-06,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-2.203350266017595,-5.323360967205428,-6.568699134557255,-8.19963079676653,-16.38708764030363,-7.7364257609700875,4.750787333937933,2,12
0,1.1560316562652588,0.0206288522735923,0.0020882129669189454,0.00046363327342364643,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.4556835996611355,-7.435231245232631,-10.970312351435632,-12.774858962564739,-24.61047508436957,-12.649312248652741,6.325577258537207,6,13
1,0.9456742286682129,0.040012963315307064,0.0017096042633056641,0.00040596708696922997,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.267814957816379,-5.997241575306009,-10.376664553080618,-11.68745999954936,-24.617947990971132,-11.7894258153447,6.791389509589494,4,13
2,0.9621408939361572,0.029750651289004854,0.0015027523040771484,0.00044776931189253365,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.449908736174939,-6.9195370373293414,-9.865711243350436,-12.3993377423142,-24.615694033243408,-12.250037758482465,6.481855214218865,5,13
3,1.3054945468902588,0.059644904128795403,0.0015529632568359376,0.0004927965562486622,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-7.37981924088967,-5.951531796157648,-6.283315037426152,-8.61626303127493,-16.67698450763773,-8.981582722677226,3.9592971719500953,3,13
4,0.9870638847351074,0.04230167781202951,0.0011094570159912109,0.000211540334261732,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.739181483783639,-3.8826341058912304,-6.270847071426592,-8.195034755112665,-1.9442575230606167,-4.406390987854949,2.5012175871451436,1,13
5,1.0221475601196288,0.05313037006864703,0.0011016368865966798,0.0004912702523309323,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-1.9911368383357952,-6.058117545271165,-6.11153266158548,-8.275908381962124,-16.526324471777727,-7.792603979786458,4.8166984904417225,2,13
0,1.1034852504730224,0.04556964637404347,0.0020112991333007812,0.00031895034776930264,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-6.936387811779639,-7.217764161059662,-10.970312351435632,-12.774858962564739,-24.666177793472098,-12.513100216062355,6.469718878199294,6,14
1,0.9144729614257813,0.03970674928724593,0.0016035079956054688,0.0002012733316226115,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-5.790297594251339,-5.894351797681377,-10.376664553080618,-11.68745999954936,-24.64296085100608,-11.678346959113755,6.897817029322531,4,14
2,0.9401321411132812,0.04317606297689028,0.0015995025634765625,0.000581163748912496,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-6.940470121164521,-6.7446909688957195,-9.865711243350436,-12.3993377423142,-24.672442226854308,-12.124530460515837,6.609765919477199,5,14
3,1.3322704792022706,0.04500421575757281,0.001603555679321289,0.00037609263623950397,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-7.158560700651599,-5.287839885944711,-6.3966289620581245,-8.382356817035216,-16.288464529124195,-8.70277017896277,3.924539275582742,3,14
4,1.0085694313049316,0.07629109064921717,0.001503896713256836,0.0006336290386573679,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.8296935888184167,-3.8910408667613217,-6.369123956578815,-8.421061110932985,-1.9939671036600426,-4.500977325350316,2.5553828776914806,1,14
5,1.056192445755005,0.05642872919801269,0.0012015819549560547,0.00024563494103415804,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-1.5124028458384848,-6.032985288510118,-6.1588759951157295,-8.22114581176486,-16.29188374390463,-7.643458737026765,4.848018862231077,2,14
0,1.134195327758789,0.025547338970643294,0.002402925491333008,0.0003750504036514755,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.111617146549388,-7.179703810417149,-10.66518106333517,-12.766034611147639,-24.67089076573781,-12.47868547943743,6.463835807823564,6,15
1,0.9072126388549805,0.0360433753654783,0.0016696929931640625,0.0004239031219603326,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-5.777349644064842,-5.717772045200803,-10.056096338864487,-11.668833958792993,-24.657146663977485,-11.575439730180122,6.948068832111466,4,15
2,0.9379825592041016,0.043767655441179616,0.0014118194580078126,0.00048541649384177863,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-6.475235176782406,-6.588162096485878,-10.420362390462566,-12.291304621517831,-24.67447048595627,-12.089906954240991,6.67821705252277,5,15
3,1.251366376876831,0.0338578058036187,0.0016854286193847656,0.0005172309693178221,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-8.117113455011056,-5.085449910416847,-6.3773573054072275,-8.862357678846449,-16.272004009964792,-8.942856471929275,3.8952819300839714,3,15
4,1.039566707611084,0.06263159593965185,0.0013181686401367188,0.0006100703575124958,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.7571539164697842,-3.8782128906134377,-5.867775178405492,-8.870295515527628,-2.452165267033535,-4.565120553609975,2.5710907934209906,1,15
5,1.1189176082611083,0.08488566675974994,0.0013039112091064453,0.000606422837203193,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-3.0275962554214106,-5.216520272849742,-5.7068066291813455,-8.782820846004467,-16.226148665118053,-7.791978533715005,4.599940432481885,2,15
0,1.480773639678955,0.08148347385047153,0.002559518814086914,0.0007905948665366769,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.333368100462771,-7.4713919609960415,-10.738499105806586,-12.621771247777875,-24.69504796961195,-12.572015676931045,6.384229966484569,6,16
1,1.2286662101745605,0.0927863914183172,0.0018045902252197266,0.0004026956568966784,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.172205179604466,-5.997137771796414,-10.376664553080618,-11.425186336366812,-24.657146663977485,-11.725668100965159,6.823345921757782,4,16
2,1.3008756637573242,0.0680332372457514,0.001980304718017578,0.0005248083713879656,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.330114018084931,-6.919623239506133,-9.865711243350436,-12.214991137357758,-24.67447048595627,-12.200982024851106,6.5216517237026155,5,16
3,1.7029408931732177,0.0728209177292188,0.0020018577575683593,6.1373221419382764e-06,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-7.094809483398101,-12.286396425032011,-6.562142556131488,-8.094039576796744,-18.753027481928882,-10.558083104657445,4.564591894796595,3,16
4,1.2704583644866942,0.0516793539215856,0.0015919208526611328,0.00038568003097491296,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-2.073437269531511,-1.4447163426944556,-6.34930605111637,-7.714496417473264,-16.349095807108423,-6.786210377584806,5.352441816466448,1,16
5,1.3788942337036132,0.07934183300370604,0.0013025283813476562,0.0004042030883790696,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-1.8168168601665038,-6.060288218045147,-6.3767861451429075,-7.624133075845545,-16.265721600817994,-7.628749180003619,4.741378542713886,2,16
0,1.6803318023681642,0.08322759401190706,0.0030088424682617188,0.0003212495852794887,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-6.738906431896219,-6.805514023489237,-11.005797167184205,-12.688417700161782,-24.67089076573781,-12.38190521769385,6.571854580191739,6,17
