,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_slim_version,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,outer_fold
5,1.4456504821777343,0.05744764255847198,0.0014002323150634766,0.0004901743118638442,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-1.6536807362777242,-6.461458363435395,-6.105613016506161,-9.221547293599595,-16.226148665118053,-7.933689614987387,4.803567318630762,2,20
0,1.6023431301116944,0.06363853189148469,0.002701139450073242,0.0006014741126150471,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.4556835996611355,-7.496717153449325,-8.865344660274172,-12.344411781739252,-24.667523702781807,-12.165936179581138,6.499285102205746,6,21
1,1.3166804313659668,0.05546100507684698,0.002002239227294922,2.8847662853725766e-06,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.267814957816379,-5.9017442068277095,-8.031129693940237,-11.364368067732375,-24.694920577784423,-11.251995500820225,6.993798443746041,4,21
2,1.3537957668304443,0.011992063095992725,0.002004861831665039,0.00031705716252196847,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.449908736174939,-6.953477573902476,-8.823332889199321,-12.217015495196122,-24.67481134275192,-12.023709207444956,6.587215811038906,5,21
3,1.7223051548004151,0.059844094830168636,0.0016000747680664062,0.000490218687618345,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-7.062509912425315,-5.6146748608315304,-6.07607671289426,-8.543159739386544,-16.54761529165976,-8.768807303439482,4.016754182822604,3,21
4,1.3810987949371338,0.0341352988161744,0.001814126968383789,0.00025406557688495906,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.9280144253024245,-5.540849847619615,-6.1155461757481895,-8.57528241294638,-3.853364279700981,-5.202611428263518,2.230077041365208,1,21
5,1.4553236007690429,0.05662558512358989,0.0014037609100341797,0.00037416076429720285,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-1.6536807362777242,-5.8492851387971605,-5.83605498828609,-8.508989577106282,-16.430456152835422,-7.6556933186605365,4.905566766550451,2,21
0,1.6269689559936524,0.10003653099743855,0.0028101921081542967,0.000512936933772894,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.4556835996611355,-7.2342092403703235,-9.150959115420624,-12.734108544303899,-24.69504796961195,-12.254001693873587,6.524740317837644,6,22
1,1.3380977630615234,0.08950191868650859,0.0023510932922363283,0.000495198141447598,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.784384422983447,-5.977675316644332,-8.587914920260085,-11.668833958792993,-24.657146663977485,-11.53519105653167,6.8461107335625355,4,22
2,1.3980976581573485,0.12281164735114442,0.0019612789154052736,0.00021134826849355422,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.449908736174939,-6.953477573902476,-8.10689461873371,-12.60239181725799,-24.67447048595627,-11.957428646405077,6.668178237210345,5,22
3,1.8152433395385743,0.023762257047795374,0.0019177436828613282,0.0003650085072763516,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-6.504483531369097,-5.3326167744759445,-6.2437314410477835,-8.978485754551809,-16.4029370315913,-8.692450906607187,4.039933808105304,3,22
4,1.4373509407043457,0.05835336638922552,0.001601839065551758,0.0004903977871734725,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-7.090517542841136,-1.4654190208634876,-6.044553534742302,-8.778682672131298,-1.9854693301216428,-5.072928420139973,2.873808048771693,1,22
5,1.5286727905273438,0.10893996631537077,0.001731538772583008,0.0005056019447749392,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-1.9911368383357952,-6.461458363435395,-6.121438955402957,-8.566779879957531,-16.238506737150065,-7.875864154856347,4.692967560328317,2,22
0,1.5935213565826416,0.09212003572481169,0.0028047561645507812,0.0005147773495307785,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.4556835996611355,-7.055301703626936,-10.98151862188877,-12.774858962564739,-24.63780570001001,-12.581033717550318,6.3994483437953225,6,23
1,1.3581320285797118,0.058989472196782286,0.0022036075592041016,0.0007501475203123611,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.267814957816379,-5.894058531981459,-10.370376505579616,-11.68745999954936,-24.602766676969487,-11.76449533437926,6.803620157396171,4,23
2,1.3966487884521483,0.07053579192113597,0.0017046451568603516,0.0004025414949438161,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.449908736174939,-6.8002297337029,-9.878954617949159,-12.641329445827536,-24.64333237876117,-12.28275098248314,6.513143501437134,5,23
3,1.7737121105194091,0.031889231184098116,0.0019789218902587892,0.0005441456517286689,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-6.8039065497919395,-5.204584591365308,-6.446716546533667,-8.193528666750598,-15.918882330553636,-8.51352373699903,3.8232262267089765,3,23
4,1.3853032112121582,0.027744817472051687,0.0018144607543945312,0.0005066134973482809,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.6952972666774064,-3.0602225170285866,-6.303109910449603,-8.42739729784998,-2.3690425925468754,-4.37101391691049,2.5718772883372605,1,23
5,1.4755260467529296,0.11054209418849219,0.0013200759887695313,0.00026409286682980927,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-3.3903328227358274,-5.40425629684861,-6.91202076361824,-8.605548838323523,-15.788493812049662,-8.020130506715173,4.247255931676884,2,23
0,1.6402366161346436,0.05269067414459735,0.0025298595428466797,0.00047710725763945816,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.4556835996611355,-7.2342092403703235,-8.865344660274172,-14.182602130961552,-24.608145417791373,-12.469197009811712,6.569900927380903,6,24
1,1.3637292385101318,0.09259847195482918,0.002538585662841797,0.00048396584024405244,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.267814957816379,-5.977675316644332,-8.538243794736603,-13.056257816637551,-24.61765330181408,-11.691529037529788,6.941976371622413,4,24
2,1.3786910057067872,0.07035723784560204,0.002214860916137695,0.00039404953774382635,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.449908736174939,-6.953477573902476,-8.823332889199321,-14.059990120571213,-24.61631050372759,-12.380603964715108,6.6174388727455415,5,24
3,2.5365967750549316,0.13199133582091224,0.0025250911712646484,0.0004936450548543578,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-6.680695627134255,-5.447865146003187,-6.480245385365548,-8.442778885302051,-16.476966261988974,-8.705710261158803,4.003210854166821,3,24
4,2.1602959632873535,0.08793473848206997,0.002307701110839844,0.0006120110913406494,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.739181483783639,-1.4766481655625265,-6.1155461757481895,-8.706209713261472,-2.4981691597953644,-4.107150939630238,2.83903644160538,1,24
5,2.109899568557739,0.08165578033864465,0.002409219741821289,0.0016000032920529305,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-1.6405141278442852,-5.211267303541207,-6.23794988634451,-8.583322409467533,-16.342172428089476,-7.603045231057402,4.908546661159731,2,24
0,2.4533823490142823,0.21358853600998406,0.0038364410400390627,0.000524240449156751,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.4556835996611355,-7.361593720867964,-10.970312351435632,-12.774858962564739,-24.619706508979984,-12.636431028701892,6.341262611238746,6,25
1,1.8962010860443115,0.05660627331170382,0.0030786991119384766,0.00015807716365300444,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.267814957816379,-5.971414027560802,-10.376664553080618,-11.68745999954936,-24.626958381401614,-11.786062383881754,6.799204730815622,4,25
2,1.945770835876465,0.06700516274987936,0.0030075550079345704,0.0003199910105357309,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.449908736174939,-6.862450723693731,-9.865711243350436,-12.3993377423142,-24.627742302330297,-12.24103014957272,6.4958725386795635,5,25
3,2.5711151123046876,0.12421729780299139,0.002780628204345703,0.0007913304709034168,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-7.100788511360189,-5.595446589117255,-6.3966289620581245,-8.382356817035216,-17.15188108381924,-8.925420392678005,4.213843060304468,3,25
4,2.1270936489105225,0.09566786488056522,0.0025050163269042967,0.00042942095472104085,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.739181483783639,-3.1096231256090565,-6.474916539469972,-8.329268587230448,-2.4786678793135293,-4.426331523081329,2.5368290562435396,1,25
5,2.1531052112579347,0.09740189322713624,0.002734470367431641,0.00022336695502333325,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-2.2826846380702026,-5.669201499967736,-6.6356439835495475,-8.39003058025513,-16.525795767175,-7.900671293803524,4.749184567752145,2,25
0,2.3157565593719482,0.09199113946971738,0.0031997203826904298,0.0007473359207263269,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.456087669898938,-7.471634187527367,-10.798683989130513,-12.734108544303899,-24.667286654135037,-12.62556020899915,6.350414711034533,6,26
1,1.9164430141448974,0.09594494132905673,0.0033100605010986327,0.000930300418766438,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.268314621774036,-5.996388881215617,-10.219837469969718,-11.668833958792993,-24.657146663977485,-11.76210431914597,6.813143227898921,4,26
2,1.9653941631317138,0.09637447731791746,0.0037053108215332033,0.000721032630004883,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.449579582643656,-6.919470473321982,-9.72148713824023,-12.6129833797865,-24.67447048595627,-12.275598211989728,6.516868971497843,5,26
3,2.598227882385254,0.13769985417622588,0.0031349658966064453,0.0004658807628306948,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-7.656094120052637,-5.154514782465943,-6.314412772290758,-8.983120319075308,-16.275656418363585,-8.876759682449647,3.915756343094367,3,26
4,2.093861770629883,0.12250431367559685,0.002050971984863281,9.413562613363892e-05,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-2.107252937530809,-3.1920668398772465,-6.3020194188823355,-8.928063113944978,-1.9805736867453871,-4.501995199396151,2.7069700266988304,1,26
5,2.123906946182251,0.0915909295816783,0.002204751968383789,0.0005089145315597913,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-1.9930871493051976,-6.061833960422145,-6.047994050462616,-8.56164665844392,-16.238506737150065,-7.780613711156789,4.724354036864529,2,26
0,2.426580858230591,0.18263458079369194,0.004012346267700195,0.00031052633774438876,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.484642691147566,-7.325973953513035,-10.738499105806586,-12.774858962564739,-24.648853972183186,-12.594565737043023,6.366360447839098,6,27
1,1.9264351844787597,0.06542393917032638,0.0026733875274658203,0.0006928405676287963,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.278363452679148,-5.950683857343004,-10.376664553080618,-11.68745999954936,-24.632684352010987,-11.785171242932623,6.803208166178402,4,27
2,1.9678707122802734,0.07385937299040589,0.002304697036743164,0.0003973121716959157,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.470496754424709,-6.80994827056599,-9.865711243350436,-12.641329445827536,-24.63497873000383,-12.284492888834501,6.506266749056428,5,27
3,2.5410511970520018,0.07829064963576862,0.0019073009490966797,0.0004951734841047253,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-6.987461733033994,-5.555186651627597,-6.2221817054135835,-8.520280272739669,-16.3384094593779,-8.72470396443855,3.932855670707907,3,27
4,2.016182804107666,0.11038025981496359,0.0020036697387695312,0.000837918872219216,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.754698160445254,-3.6985662643055806,-6.283580063222035,-8.465525670347487,-2.4661673268324527,-4.533707497030561,2.4986526078165934,1,27
5,2.091938018798828,0.12857055754051294,0.0023437976837158204,0.0008191075976163484,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-2.3400976634327497,-6.038998181846048,-6.706619523563414,-8.275908381962124,-16.530847458078725,-7.978494241776612,4.698979185890723,2,27
0,2.3722101211547852,0.08680254649940208,0.0033140659332275392,0.0006807479879400713,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.4556835996611355,-7.2342092403703235,-8.865344660274172,-13.24400445594481,-25.095578563819583,-12.378964104014006,6.715851297590766,6,28
1,1.9343507766723633,0.06101837276122363,0.0029047012329101564,0.0004868750561461112,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.267814957816379,-5.977675316644332,-8.094242206167113,-12.204497869681635,-25.07831863775912,-11.524509797613717,7.132111426503516,4,28
2,1.9652862548828125,0.06819222350228597,0.0027020454406738283,0.00040142092020068056,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.449908736174939,-6.953477573902476,-9.06495741664518,-13.115063551402708,-25.098806125312727,-12.336442680687606,6.7385653416377025,5,28
3,2.5346446514129637,0.10583591372125661,0.0020117759704589844,0.0005557890246251864,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-6.820980251093518,-5.575783245214842,-6.432074677841709,-8.53330902554845,-16.223098533640375,-8.71704914666778,3.8744877048549977,3,28
4,2.212533378601074,0.12225511710951546,0.001701498031616211,0.0003998857335864636,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.7949103445398424,-1.502154596212134,-3.235250145300908,-8.558325507359637,-1.9654178375044158,-3.4112116861833877,2.640870765662701,1,28
5,2.1426421642303466,0.07501778377367123,0.002018451690673828,4.013003278171823e-05,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-2.516263967227424,-5.713118763477507,-6.820070942956825,-8.369828480552941,-16.077924525402118,-7.899441335923363,4.517355349433084,2,28
0,2.326241397857666,0.07570189243409364,0.0035182952880859373,0.0011130260528251724,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.4556835996611355,-7.5376197530575535,-8.889326585534466,-13.614224627427765,-24.67089076573781,-12.433549066283746,6.51854750825412,6,29
1,1.9046433925628663,0.060298688406895035,0.0027984619140625,0.00039942567328689555,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.784384422983447,-5.895034533239577,-8.021514212682288,-12.405389887787628,-24.657146663977485,-11.552693944134086,6.923422382809376,4,29
2,1.973069190979004,0.034149708300646564,0.002849102020263672,0.0004288511271059834,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.449908736174939,-6.950924580866798,-9.095537659607158,-13.468671337158737,-24.67447048595627,-12.327902559952781,6.586258296420553,5,29
3,2.572518491744995,0.05921087803702962,0.0028406620025634766,0.0004950642377642625,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-6.955988148224027,-5.440857753290129,-6.364701737971561,-8.261138878803948,-18.753027481928882,-9.15514280004371,4.8854352782533885,3,29
4,2.0830485820770264,0.12564453833909897,0.0015984058380126953,0.0004902140725786147,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.8154775135738845,-3.7882946437244636,-0.8812248406238213,-8.174226043680356,-16.235626015550253,-6.178969811430556,5.620300276797317,1,29
5,2.1272722721099853,0.10075924841805681,0.00170135498046875,0.0003995341692780679,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-2.0399039291354897,-6.140903641097139,-6.187812174763631,-7.981927993428732,-16.30159681884735,-7.730428911454469,4.707791470334582,2,29
0,2.2887930393218996,0.09683967175849087,0.003608226776123047,0.00037565711304773946,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.464294291546818,-7.181084585750977,-10.395808127607257,-12.774858962564739,-24.612437623487224,-12.485696718191402,6.4009762742060845,6,30
1,1.8704193115234375,0.06657251800049757,0.002905464172363281,0.00019419357042693358,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.791650276142922,-5.982274061022097,-9.847820745882753,-11.68745999954936,-24.605902926010568,-11.78302160172154,6.734135127390723,4,30
2,1.928285551071167,0.09027551031604807,0.0021048069000244142,0.0003739709650215544,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.456678616448517,-6.9154767223326985,-9.384203009333252,-12.641329445827536,-24.600869363816056,-12.199711431551611,6.516599250442512,5,30
3,1.8562767028808593,0.2220303542729118,0.001864147186279297,0.00028588761381424636,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-7.052214063667197,-5.216681064462177,-6.271553889819126,-8.416694170547387,-16.70509266173232,-8.732447170045642,4.120741836864031,3,30
4,1.4701245784759522,0.09270385638526293,0.0015017986297607422,0.0004467596987574557,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-7.278080341047016,-3.081667409667131,-6.134024961773425,-8.366268338864042,-2.006999439926121,-5.373408098255547,2.439192875684505,1,30
5,1.4296946048736572,0.05942820382299856,0.002704000473022461,0.0014367793225215136,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-3.072245745736636,-5.1126757077933505,-6.0398812664381225,-8.458966938695179,-16.522349453325532,-7.8412238223977635,4.672825922094271,2,30
