,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer__lr,param_optimizer__weight_decay,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,outer_fold
3,0.07195725440979003,0.013466202572842367,0.0020969867706298827,0.0006974748734616776,0.0001,0.05,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.05}",-302.8377990722656,-311.59698486328125,-320.98095703125,-330.2469482421875,-336.9024658203125,-320.5130310058594,12.292203836489584,9,8
4,0.07885746955871582,0.01620933791172844,0.0030004501342773436,0.0023753322457295686,0.001,0.0001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.0001}",-209.0624542236328,-214.05950927734375,-219.71604919433594,-224.8914794921875,-228.7082977294922,-219.28755798339844,7.102437870604756,6,8
5,0.05385966300964355,0.004145002031868796,0.0011293411254882813,0.0001771168217889015,0.001,0.001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.001}",-209.06246948242188,-214.0594940185547,-219.71604919433594,-224.8914794921875,-228.70828247070312,-219.2875549316406,7.102431675609077,5,8
6,0.05978593826293945,0.007749890030848461,0.001200103759765625,0.000399876749658992,0.001,0.01,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.01}",-209.06246948242188,-214.05950927734375,-219.71604919433594,-224.89146423339844,-228.70831298828125,-219.28756103515624,7.10243511711724,7,8
7,0.06154766082763672,0.005162764662476065,0.0014935016632080078,0.00044335547141193904,0.001,0.05,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.05}",-209.06248474121094,-214.05955505371094,-219.71609497070312,-224.8914794921875,-228.7091827392578,-219.28775939941406,7.102657678706709,8,8
8,0.06173233985900879,0.0035827768144466,0.0014967918395996094,0.0006153318683226542,0.01,0.0001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.0001}",-86.24435424804688,-85.87620544433594,-87.23503112792969,-87.65908813476562,-88.68682098388672,-87.14029998779297,1.0070249356472505,1,8
9,0.05388145446777344,0.0013466153483167001,0.0010915756225585937,0.00017228533673747956,0.01,0.001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.001}",-86.24435424804688,-85.87620544433594,-87.23503112792969,-87.65908813476562,-88.68682098388672,-87.14029998779297,1.0070249356472505,1,8
10,0.061967325210571286,0.013614709236726426,0.0016031742095947265,0.000585648330595964,0.01,0.01,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.01}",-86.24437713623047,-85.876220703125,-87.23505401611328,-87.65911102294922,-88.68684387207031,-87.14032135009765,1.0070268510496934,3,8
11,0.062375116348266604,0.00776564947083078,0.0013302803039550782,0.0004332742627636118,0.01,0.05,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.05}",-86.24447631835938,-85.87631225585938,-87.23515319824219,-87.6592025756836,-88.68692779541016,-87.14041442871094,1.0070232936987447,4,8
0,0.060497713088989255,0.005609304313749142,0.0016803264617919922,0.0005624245950249441,0.0001,0.0001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.0001}",-302.625,-311.1562194824219,-322.84918212890625,-329.38629150390625,-336.9022216796875,-320.5837829589844,12.331297343234986,9,9
1,0.05682191848754883,0.001971695100635551,0.0014019489288330078,0.0004920902963432132,0.0001,0.001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.001}",-302.625,-311.1562194824219,-322.84918212890625,-329.38629150390625,-336.9022216796875,-320.5837829589844,12.331297343234986,9,9
2,0.053710412979125974,0.0022090218182259764,0.0016399383544921874,0.0004456537427486827,0.0001,0.01,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.01}",-302.6250305175781,-311.1562194824219,-322.84918212890625,-329.38629150390625,-336.9022216796875,-320.5837890625,12.3312884543343,11,9
3,0.07246079444885253,0.015191258488622697,0.0019939899444580077,0.0003136754142414886,0.0001,0.05,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.05}",-302.625,-311.15625,-322.84918212890625,-329.38629150390625,-336.9022216796875,-320.5837890625,12.331292676960565,11,9
4,0.07770662307739258,0.01619714887807539,0.0023575305938720705,0.0009355146383060669,0.001,0.0001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.0001}",-209.05104064941406,-213.69102478027344,-220.8655242919922,-224.4857635498047,-228.7008819580078,-219.35884704589844,7.130274151855763,6,9
5,0.12597861289978027,0.11664045465067789,0.0023150920867919924,0.0004162511838223402,0.001,0.001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.001}",-209.05104064941406,-213.69102478027344,-220.86550903320312,-224.48573303222656,-228.7008819580078,-219.358837890625,7.130269118365262,5,9
6,0.07446341514587403,0.009274977888260117,0.0018555641174316407,0.00042619371764986456,0.001,0.01,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.01}",-209.0510711669922,-213.6910400390625,-220.86546325683594,-224.4857635498047,-228.70091247558594,-219.35885009765624,7.130268319973685,7,9
7,0.05457620620727539,0.001022300272451505,0.0017017841339111329,0.00040058897529035044,0.001,0.05,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.05}",-209.05116271972656,-213.6911163330078,-220.86553955078125,-224.48573303222656,-228.70098876953125,-219.3589080810547,7.130248548104692,8,9
8,0.06556529998779297,0.00583243103188678,0.0016237258911132812,0.0008133438482338445,0.01,0.0001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.0001}",-86.25838470458984,-85.79649353027344,-87.08452606201172,-87.74185180664062,-88.68682098388672,-87.11361541748047,1.0331246336690851,1,9
9,0.07371735572814941,0.0018505626283887339,0.0020400047302246093,0.0006083829543985453,0.01,0.001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.001}",-86.25838470458984,-85.79649353027344,-87.08452606201172,-87.74185180664062,-88.68682098388672,-87.11361541748047,1.0331246336690851,1,9
10,0.0687434196472168,0.003706825794348295,0.0018047809600830079,0.0004026464012903003,0.01,0.01,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.01}",-86.2583999633789,-85.79652404785156,-87.08455657958984,-87.74187469482422,-88.68684387207031,-87.11363983154297,1.0331239085283093,3,9
11,0.07350044250488282,0.003512032524687253,0.002111196517944336,0.00034538467777212153,0.01,0.05,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.05}",-86.25849151611328,-85.7966079711914,-87.08464813232422,-87.7419662475586,-88.68693542480469,-87.11372985839844,1.0331258538534915,4,9
0,0.06252360343933105,0.004158932179504244,0.001371145248413086,0.00039077376791477075,0.0001,0.0001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.0001}",-302.6031494140625,-311.5994873046875,-320.8554992675781,-330.24884033203125,-336.9045715332031,-320.4423095703125,12.359417307810824,9,10
1,0.06260347366333008,0.0008250108991719306,0.002044820785522461,9.125068628889687e-05,0.0001,0.001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.001}",-302.6031494140625,-311.5994873046875,-320.8554992675781,-330.24884033203125,-336.9045715332031,-320.4423095703125,12.359417307810824,9,10
2,0.08464670181274414,0.0032855552514392907,0.002770090103149414,0.0008206648796841458,0.0001,0.01,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.01}",-302.6031494140625,-311.5994873046875,-320.8554992675781,-330.24884033203125,-336.9045715332031,-320.4423095703125,12.359417307810824,9,10
3,0.07427186965942383,0.01129940502225106,0.0018610000610351563,0.0004279271353856105,0.0001,0.05,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.05}",-302.6031494140625,-311.5994873046875,-320.8554992675781,-330.24884033203125,-336.9045715332031,-320.4423095703125,12.359417307810824,9,10
4,0.06457538604736328,0.005309912661847084,0.002200937271118164,0.00034193671773847715,0.001,0.0001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.0001}",-209.00180053710938,-214.076171875,-219.7290802001953,-224.90684509277344,-228.7252197265625,-219.28782348632814,7.124551069732547,5,10
5,0.06593637466430664,0.00687950347737176,0.0022543907165527345,0.0003781666384916877,0.001,0.001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.001}",-209.00181579589844,-214.07618713378906,-219.7290802001953,-224.9068145751953,-228.7252197265625,-219.28782348632814,7.124539617662,5,10
6,0.056092691421508786,0.0036174093069034326,0.001306772232055664,0.0003958672967030337,0.001,0.01,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.01}",-209.00180053710938,-214.07618713378906,-219.72911071777344,-224.9068145751953,-228.72523498535156,-219.28782958984374,7.1245484441062015,7,10
7,0.055309295654296875,0.0022923265383559097,0.001507139205932617,0.0004153004626911184,0.001,0.05,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.05}",-209.00184631347656,-214.07623291015625,-219.72914123535156,-224.9068145751953,-228.7252655029297,-219.28786010742186,7.124536992064115,8,10
8,0.057874631881713864,0.0031828000038632925,0.0016654014587402343,0.00044240977235273895,0.01,0.0001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.0001}",-86.17631530761719,-85.876220703125,-87.10804748535156,-87.65908813476562,-88.68682098388672,-87.10129852294922,1.0179848610811808,1,10
9,0.06464166641235351,0.01221329512612534,0.001707172393798828,0.0007427892105529314,0.01,0.001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.001}",-86.17632293701172,-85.876220703125,-87.1080551147461,-87.65908813476562,-88.68682098388672,-87.10130157470704,1.017983484726489,2,10
10,0.058451509475708006,0.003432522378797895,0.0016505718231201172,0.00043937277556036625,0.01,0.01,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.01}",-86.17633056640625,-85.8762435913086,-87.10807037353516,-87.65911102294922,-88.68684387207031,-87.1013198852539,1.0179862475615955,3,10
11,0.05724329948425293,0.0031973294891142106,0.002119302749633789,0.00014780775146405658,0.01,0.05,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.05}",-86.17642974853516,-85.87633514404297,-87.10816955566406,-87.6592025756836,-88.68692779541016,-87.10141296386719,1.0179824946330835,4,10
0,0.06016073226928711,0.006628695679207797,0.001779651641845703,0.0002937464586483418,0.0001,0.0001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.0001}",-302.2605285644531,-311.7746276855469,-322.0354919433594,-330.248046875,-336.9036865234375,-320.64447631835935,12.451258235099342,9,11
1,0.0616703987121582,0.014465360784803859,0.0020180225372314455,0.000534820722445246,0.0001,0.001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.001}",-302.2605285644531,-311.7746276855469,-322.0354919433594,-330.248046875,-336.9036865234375,-320.64447631835935,12.451258235099342,9,11
2,0.06855545043945313,0.008404202357729814,0.0019117832183837891,0.00024175924190424032,0.0001,0.01,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.01}",-302.2605285644531,-311.7746276855469,-322.0354919433594,-330.248046875,-336.9036865234375,-320.64447631835935,12.451258235099342,9,11
3,0.06975731849670411,0.014568995132528136,0.0016191482543945312,0.0005072664510308203,0.0001,0.05,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.05}",-302.2605285644531,-311.7746276855469,-322.0354919433594,-330.248046875,-336.9036865234375,-320.64447631835935,12.451258235099342,9,11
4,0.05284385681152344,0.0011838693537613797,0.001886749267578125,0.00022883487259341452,0.001,0.0001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.0001}",-208.74417114257812,-214.0657958984375,-220.46873474121094,-224.91201782226562,-228.7296142578125,-219.38406677246093,7.218938832220638,6,11
5,0.05513629913330078,0.0010797606742106829,0.001344442367553711,0.0005830527204990422,0.001,0.001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.001}",-208.74417114257812,-214.0657958984375,-220.46871948242188,-224.91201782226562,-228.7296142578125,-219.38406372070312,7.218938373687118,5,11
6,0.06296048164367676,0.0069480920428299725,0.001969051361083984,0.0005188665889217259,0.001,0.01,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.01}",-208.74415588378906,-214.0658416748047,-220.46873474121094,-224.91201782226562,-228.72959899902344,-219.38406982421876,7.218932634640107,7,11
7,0.07868232727050781,0.00755242972483296,0.0021151065826416015,0.0003458543200230453,0.001,0.05,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.05}",-208.74417114257812,-214.06591796875,-220.46878051757812,-224.91201782226562,-228.72962951660156,-219.38410339355468,7.218926172625096,8,11
8,0.07324504852294922,0.008724305372001844,0.001818084716796875,0.00066120253798716,0.01,0.0001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.0001}",-86.23724365234375,-85.79794311523438,-87.37138366699219,-87.65904998779297,-88.686767578125,-87.15047760009766,1.0325674831776124,1,11
9,0.055861616134643556,0.002697871751801874,0.0012969017028808595,0.0003985566478029886,0.01,0.001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.001}",-86.23724365234375,-85.79794311523438,-87.37139892578125,-87.65904998779297,-88.686767578125,-87.15048065185547,1.0325681360843133,2,11
10,0.05609574317932129,0.001656413517396312,0.0010874748229980468,0.0007325678514753545,0.01,0.01,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.01}",-86.23727416992188,-85.7979736328125,-87.37140655517578,-87.65906524658203,-88.6867904663086,-87.15050201416015,1.0325633833969092,3,11
11,0.053814125061035153,0.0019453027304708553,0.0015335559844970703,0.0004935181750648169,0.01,0.05,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.05}",-86.23736572265625,-85.79805755615234,-87.37150573730469,-87.65916442871094,-88.68688201904297,-87.15059509277344,1.0325664600947968,4,11
0,0.07423100471496583,0.008907285942197198,0.002399587631225586,0.00022607857935736642,0.0001,0.0001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.0001}",-302.0780334472656,-312.61761474609375,-321.727783203125,-327.8929138183594,-337.74346923828125,-320.411962890625,12.287896109497703,9,12
1,0.07497692108154297,0.01587249348984937,0.0022789478302001954,0.0003763517012489924,0.0001,0.001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.001}",-302.0780334472656,-312.61761474609375,-321.727783203125,-327.8929138183594,-337.7434997558594,-320.41196899414064,12.28790471822586,10,12
2,0.055159139633178714,0.0038940745746152416,0.0016036510467529296,0.0004936416556032447,0.0001,0.01,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.01}",-302.0780334472656,-312.6176452636719,-321.727783203125,-327.8929138183594,-337.7434997558594,-320.41197509765624,12.287900846703659,11,12
3,0.05430989265441895,0.0020469225652335506,0.0014107227325439453,0.0005039459321140996,0.0001,0.05,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.05}",-302.07806396484375,-312.6176452636719,-321.727783203125,-327.8929443359375,-337.7434997558594,-320.4119873046875,12.287895455923202,12,12
4,0.054247140884399414,0.0018532352497655676,0.0017330646514892578,0.0006109573293703486,0.001,0.0001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.0001}",-208.59988403320312,-214.6565399169922,-220.31622314453125,-223.50332641601562,-229.2220001220703,-219.2595947265625,7.1160774191432115,6,12
5,0.0715261459350586,0.010655138379613469,0.0016882896423339843,0.0008051767318061685,0.001,0.001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.001}",-208.59986877441406,-214.6565399169922,-220.31622314453125,-223.50332641601562,-229.2220001220703,-219.25959167480468,7.116081990603252,5,12
6,0.06791915893554687,0.008464265470576705,0.0021891117095947264,0.0002341961515877074,0.001,0.01,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.01}",-208.5998992919922,-214.65655517578125,-220.31625366210938,-223.5032958984375,-229.2220001220703,-219.2596008300781,7.1160681400666315,7,12
7,0.06154050827026367,0.006596752906943749,0.0013038158416748048,0.00040137161579431596,0.001,0.05,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.05}",-208.59994506835938,-214.65655517578125,-220.31629943847656,-223.50335693359375,-229.22201538085938,-219.25963439941407,7.116067337300651,8,12
8,0.06803159713745117,0.004642073042094521,0.0019215106964111327,0.0004971221101311256,0.01,0.0001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.0001}",-86.13790130615234,-85.73609161376953,-87.27394104003906,-87.55531311035156,-88.68734741210938,-87.07811889648437,1.0526845101810964,1,12
9,0.05636420249938965,0.0021573458689889157,0.0015983104705810547,0.0005100289876394423,0.01,0.001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.001}",-86.13790130615234,-85.73609161376953,-87.27394104003906,-87.55531311035156,-88.68734741210938,-87.07811889648437,1.0526845101810964,1,12
10,0.05592203140258789,0.0014261927979927456,0.0014986991882324219,0.00045452344532064334,0.01,0.01,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.01}",-86.1379165649414,-85.73611450195312,-87.27396392822266,-87.55533599853516,-88.68737030029297,-87.07814025878906,1.052685873041386,3,12
11,0.05657539367675781,0.001983409674203816,0.00171661376953125,0.0006123173988784753,0.01,0.05,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.05}",-86.13801574707031,-85.7362060546875,-87.27405548095703,-87.55542755126953,-88.68746185302734,-87.07823333740234,1.0526845101810964,4,12
0,0.05491838455200195,0.0014074164170057015,0.0016024589538574218,0.0004904159805213195,0.0001,0.0001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.0001}",-302.6251220703125,-311.65496826171875,-321.7313537597656,-327.8880615234375,-339.0927429199219,-320.59844970703125,12.645055635863773,9,13
1,0.06356267929077149,0.014619193716094787,0.0020184993743896486,0.0006360310161670402,0.0001,0.001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.001}",-302.6251220703125,-311.65496826171875,-321.7313537597656,-327.8880615234375,-339.0927429199219,-320.59844970703125,12.645055635863773,9,13
2,0.07361807823181152,0.01537405854301381,0.0019030094146728516,0.0005565559356832797,0.0001,0.01,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.01}",-302.6251220703125,-311.6549987792969,-321.7313537597656,-327.8880615234375,-339.0927429199219,-320.59845581054685,12.645051319029184,11,13
3,0.07358241081237793,0.005911014248778684,0.0018018245697021484,0.00039606662702994927,0.0001,0.05,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.05}",-302.6251220703125,-311.6549987792969,-321.7313537597656,-327.8880615234375,-339.0927429199219,-320.59845581054685,12.645051319029184,11,13
4,0.06294465065002441,0.0033360316615918244,0.0013548851013183594,0.000412827629275793,0.001,0.0001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.0001}",-209.06459045410156,-214.10226440429688,-220.34495544433594,-223.45516967773438,-230.0671844482422,-219.40683288574218,7.294006106956686,6,13
5,0.062209558486938474,0.002449938453214596,0.0016736507415771485,0.0005024998887238868,0.001,0.001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.001}",-209.06459045410156,-214.10226440429688,-220.34495544433594,-223.45516967773438,-230.06716918945312,-219.40682983398438,7.294001646746204,5,13
6,0.05756692886352539,0.0040565980465405915,0.001960277557373047,0.00025602736502350733,0.001,0.01,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.01}",-209.06459045410156,-214.10232543945312,-220.344970703125,-223.4551544189453,-230.0671844482422,-219.40684509277344,7.293995928138635,7,13
7,0.0591428279876709,0.0036642021666447827,0.001789236068725586,0.0006677811261069001,0.001,0.05,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.05}",-209.0646514892578,-214.10231018066406,-220.344970703125,-223.45639038085938,-230.06861877441406,-219.40738830566406,7.2945373044569,8,13
8,0.057239198684692384,0.0022763281235294278,0.0013483047485351562,0.0003596669684218843,0.01,0.0001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.0001}",-86.25831604003906,-85.82560729980469,-87.27404022216797,-87.55528259277344,-88.65245819091797,-87.11314086914062,0.9979322525423098,1,13
9,0.06166706085205078,0.005262106783277955,0.0016295433044433594,0.0005048414277788934,0.01,0.001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.001}",-86.2583236694336,-85.82562255859375,-87.27404022216797,-87.55528259277344,-88.65245819091797,-87.11314544677734,0.9979270081032042,2,13
10,0.057000732421875,0.0022599613561997967,0.0016007423400878906,0.0004896904728096378,0.01,0.01,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.01}",-86.25833892822266,-85.82563781738281,-87.27406311035156,-87.55530548095703,-88.6524887084961,-87.11316680908203,0.9979326375368087,3,13
11,0.05442652702331543,0.0022506710967774932,0.0017993450164794922,0.00039911928137273997,0.01,0.05,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.05}",-86.2584457397461,-85.82573699951172,-87.27415466308594,-87.5553970336914,-88.652587890625,-87.11326446533204,0.9979304084200529,4,13
0,0.05432133674621582,0.0017274351661213485,0.0017787933349609375,0.000555753562645748,0.0001,0.0001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.0001}",-302.7392883300781,-312.3248596191406,-321.72747802734375,-327.8925476074219,-337.1645812988281,-320.3697509765625,11.967085756600788,9,14
1,0.05687417984008789,0.00270543756382829,0.001611185073852539,0.0004996501569390492,0.0001,0.001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.001}",-302.7392883300781,-312.3248596191406,-321.72747802734375,-327.8925476074219,-337.1645812988281,-320.3697509765625,11.967085756600788,9,14
2,0.052059364318847653,0.0017966484198348365,0.00174713134765625,0.000458817114260813,0.0001,0.01,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.01}",-302.7392883300781,-312.3248596191406,-321.72747802734375,-327.8925476074219,-337.1645812988281,-320.3697509765625,11.967085756600788,9,14
3,0.06282858848571778,0.018271339770256374,0.002219533920288086,0.0009671885637401115,0.0001,0.05,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.05}",-302.7392883300781,-312.32489013671875,-321.7274475097656,-327.8925476074219,-337.1645812988281,-320.3697509765625,11.967080961042807,9,14
4,0.07794756889343261,0.010556080081495956,0.0020336151123046876,0.0005549268020336284,0.001,0.0001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.0001}",-208.9907989501953,-214.50010681152344,-220.31234741210938,-223.4997100830078,-228.93775939941406,-219.24814453125,6.940518341781074,5,14
5,0.057552528381347653,0.006922283624471929,0.0017998695373535156,0.00040128271774213307,0.001,0.001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.001}",-208.9907989501953,-214.50010681152344,-220.31234741210938,-223.4997100830078,-228.93775939941406,-219.24814453125,6.940518341781074,5,14
6,0.05530500411987305,0.0008966818859367624,0.0016707420349121095,0.00046045719382823135,0.001,0.01,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.01}",-208.99081420898438,-214.50010681152344,-220.31236267089844,-223.4997100830078,-228.93777465820312,-219.24815368652344,6.940518560084759,7,14
7,0.054897117614746097,0.0016459825917816391,0.0018061161041259765,0.00040205213182535274,0.001,0.05,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.05}",-208.99081420898438,-214.5001678466797,-220.31240844726562,-223.49977111816406,-228.9377899169922,-219.2481903076172,6.940523351242874,8,14
8,0.05276708602905274,0.0006393181533025614,0.0018028736114501954,0.00039336734471469363,0.01,0.0001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.0001}",-86.23025512695312,-85.81145477294922,-87.27391815185547,-87.5553207397461,-88.69664764404297,-87.11351928710937,1.0200724767919838,1,14
9,0.05519213676452637,0.002197561235874541,0.0019705772399902345,0.00035413881954850213,0.01,0.001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.001}",-86.23025512695312,-85.81145477294922,-87.27391815185547,-87.5553207397461,-88.69664764404297,-87.11351928710937,1.0200724767919838,1,14
10,0.05308680534362793,0.0008455248791137047,0.0014681339263916016,0.000523248677216648,0.01,0.01,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.01}",-86.23027038574219,-85.81147766113281,-87.2739486694336,-87.55534362792969,-88.6966781616211,-87.11354370117188,1.0200764060952736,3,14
11,0.0561767578125,0.00390736287264977,0.0019254207611083985,0.0004979157123535707,0.01,0.05,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.05}",-86.23036193847656,-85.81156921386719,-87.27404022216797,-87.55543518066406,-88.69676208496094,-87.11363372802734,1.0200740379691098,4,14
0,0.05594677925109863,0.0019046752098992844,0.0014828205108642577,0.0004761297366663454,0.0001,0.0001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.0001}",-301.5123291015625,-312.1315612792969,-323.3754577636719,-330.2522277832031,-336.9072265625,-320.83576049804685,12.669412178697444,9,15
1,0.05522699356079101,0.002361864772350113,0.0018871307373046875,0.00022509312075629902,0.0001,0.001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.001}",-301.5123291015625,-312.1315612792969,-323.3754577636719,-330.2522277832031,-336.9072265625,-320.83576049804685,12.669412178697444,9,15
2,0.05509648323059082,0.0030155358496467867,0.0016458988189697265,0.00044300252272231347,0.0001,0.01,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.01}",-301.5123291015625,-312.1315612792969,-323.3754577636719,-330.2522277832031,-336.9072265625,-320.83576049804685,12.669412178697444,9,15
3,0.06020731925964355,0.0024140313033961538,0.001320648193359375,0.00041528323823602386,0.0001,0.05,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.05}",-301.5123291015625,-312.131591796875,-323.3754577636719,-330.2522277832031,-336.9072265625,-320.8357666015625,12.669407985436584,12,15
4,0.07171468734741211,0.01583545957432699,0.0019280433654785157,0.0006132138906319642,0.001,0.0001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.0001}",-208.22671508789062,-214.26380920410156,-221.20980834960938,-224.93069458007812,-228.74684143066406,-219.47557373046874,7.3813498522391905,5,15
5,0.07789583206176758,0.006286145047642999,0.001714468002319336,0.0003910707793034878,0.001,0.001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.001}",-208.22669982910156,-214.26380920410156,-221.20982360839844,-224.9307098388672,-228.74684143066406,-219.47557678222657,7.381357475370627,6,15
6,0.060789060592651364,0.0068957381978675845,0.0018568992614746093,0.00040637831279024167,0.001,0.01,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.01}",-208.2267303466797,-214.26380920410156,-221.20980834960938,-224.9307098388672,-228.746826171875,-219.47557678222657,7.381343623743951,6,15
7,0.056104612350463864,0.002349320929376646,0.0015549182891845704,0.0004550390918607231,0.001,0.05,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.05}",-208.22677612304688,-214.26388549804688,-221.20986938476562,-224.93067932128906,-228.74685668945312,-219.47561340332032,7.381324921257717,8,15
8,0.058368778228759764,0.0032024612824958013,0.001304483413696289,0.00036745445775279126,0.01,0.0001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.0001}",-86.28398895263672,-85.76948547363281,-87.30508422851562,-87.65911102294922,-88.68684387207031,-87.14090270996094,1.0296131241372704,1,15
9,0.05767946243286133,0.0067873307762455525,0.00162200927734375,0.0005086815217958051,0.01,0.001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.001}",-86.28398895263672,-85.76949310302734,-87.30508422851562,-87.65911865234375,-88.68684387207031,-87.14090576171876,1.0296118596940707,2,15
10,0.0584256649017334,0.003938853629840468,0.0011993408203125,0.00039954215362843595,0.01,0.01,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.01}",-86.28401184082031,-85.7695083618164,-87.30510711669922,-87.65914916992188,-88.68685913085938,-87.14092712402343,1.0296123690525991,3,15
