,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer__lr,param_optimizer__weight_decay,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,outer_fold
8,0.05900707244873047,0.002348833080253693,0.0014765262603759766,0.0004364180030269524,0.01,0.0001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.0001}",-86.25833129882812,-85.77411651611328,-87.06890106201172,-87.67172241210938,-88.66020202636719,-87.08665466308594,1.0225015157760524,1,2
9,0.05714731216430664,0.002529148496290591,0.0014760494232177734,0.0005046785327956838,0.01,0.001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.001}",-86.25833129882812,-85.77411651611328,-87.06890106201172,-87.6717300415039,-88.66021728515625,-87.08665924072265,1.0225070852847769,2,2
10,0.05380678176879883,0.0023477883861140196,0.00127105712890625,0.0005097171628927233,0.01,0.01,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.01}",-86.25835418701172,-85.77413177490234,-87.06892395019531,-87.67174530029297,-88.66023254394531,-87.08667755126953,1.0225058226834756,3,2
11,0.05533452033996582,0.002685152419914185,0.0013989925384521485,0.0004890459050596261,0.01,0.05,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.05}",-86.2584457397461,-85.77423095703125,-87.06901550292969,-87.6718521118164,-88.66033172607422,-87.08677520751954,1.022507958385298,4,2
0,0.054669523239135744,0.0018542251168479579,0.001516246795654297,0.0004253285774589452,0.0001,0.0001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.0001}",-302.9319763183594,-312.2961730957031,-323.40618896484375,-329.8389892578125,-336.91119384765625,-321.076904296875,12.159474308356048,9,3
1,0.05490870475769043,0.0022420779809668875,0.0011625289916992188,0.00031340787411838735,0.0001,0.001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.001}",-302.9319763183594,-312.2961730957031,-323.40618896484375,-329.8389892578125,-336.91119384765625,-321.076904296875,12.159474308356048,9,3
2,0.0622222900390625,0.007173780304645596,0.0016082763671875,0.0005590105526754347,0.0001,0.01,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.01}",-302.9319763183594,-312.2961730957031,-323.40618896484375,-329.8389892578125,-336.91119384765625,-321.076904296875,12.159474308356048,9,3
3,0.05452961921691894,0.0021852193413976254,0.0014205455780029296,0.0005096189939482676,0.0001,0.05,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.05}",-302.9319763183594,-312.2961730957031,-323.4062194824219,-329.8390197753906,-336.91119384765625,-321.07691650390626,12.159479875738517,12,3
4,0.05471601486206055,0.0025225220622283476,0.001805257797241211,0.00039181896437678155,0.001,0.0001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.0001}",-209.03073120117188,-214.40773010253906,-221.3270721435547,-224.56028747558594,-228.79055786132812,-219.62327575683594,7.081242612106957,6,3
5,0.05375990867614746,0.0010318720913578465,0.0012378692626953125,0.00038678416162863353,0.001,0.001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.001}",-209.03073120117188,-214.40773010253906,-221.32705688476562,-224.56028747558594,-228.79054260253906,-219.6232696533203,7.081237927070224,5,3
