,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_p_xo,param_pop_size,param_tournament_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,outer_fold
0,0.025960206985473633,0.0074914845972380295,0.0,0.0,4,0.7,20,3,"{'max_depth': 4, 'p_xo': 0.7, 'pop_size': 20, 'tournament_size': 3}",-12.351020812988281,-11.459087371826172,-11.738709449768066,-12.242036819458008,-10.860533714294434,-11.730277633666992,0.5435603550372268,10,1
1,0.022363948822021484,0.0024288178276600024,0.0,0.0,4,0.7,20,5,"{'max_depth': 4, 'p_xo': 0.7, 'pop_size': 20, 'tournament_size': 5}",-12.351020812988281,-11.519289016723633,-11.911606788635254,-13.021678924560547,-10.554190635681152,-11.871557235717773,0.826294964860591,12,1
2,0.05128493309020996,0.011172741937779463,0.0,0.0,4,0.7,50,3,"{'max_depth': 4, 'p_xo': 0.7, 'pop_size': 50, 'tournament_size': 3}",-11.728787422180176,-8.74940013885498,-10.814413070678711,-12.242035865783691,-10.860533714294434,-10.879034042358398,1.1932906998925044,5,1
3,0.05033044815063477,0.005028416976236285,0.0,0.0,4,0.7,50,5,"{'max_depth': 4, 'p_xo': 0.7, 'pop_size': 50, 'tournament_size': 5}",-12.625350952148438,-10.475120544433594,-10.814413070678711,-12.242034912109375,-10.128046989440918,-11.256993293762207,0.9924143972341668,7,1
4,0.025367116928100585,0.009216650854732045,0.0,0.0,4,0.9,20,3,"{'max_depth': 4, 'p_xo': 0.9, 'pop_size': 20, 'tournament_size': 3}",-12.203519821166992,-12.049612045288086,-13.021584510803223,-13.397672653198242,-10.920516014099121,-12.318581008911133,0.8600955540495553,13,1
5,0.028691530227661133,0.007150770919545547,0.0,0.0,4,0.9,20,5,"{'max_depth': 4, 'p_xo': 0.9, 'pop_size': 20, 'tournament_size': 5}",-12.063554763793945,-9.941539764404297,-8.096162796020508,-12.39108657836914,-10.860533714294434,-10.670575523376465,1.5553602539293179,1,1
6,0.04662070274353027,0.006373895099478916,0.0,0.0,4,0.9,50,3,"{'max_depth': 4, 'p_xo': 0.9, 'pop_size': 50, 'tournament_size': 3}",-12.203519821166992,-12.049612045288086,-13.021584510803223,-12.39108657836914,-12.729398727416992,-12.479040336608886,0.35357872679356817,15,1
7,0.04797625541687012,0.008561329511653119,0.0,0.0,4,0.9,50,5,"{'max_depth': 4, 'p_xo': 0.9, 'pop_size': 50, 'tournament_size': 5}",-11.750505447387695,-9.429426193237305,-10.814413070678711,-12.242034912109375,-9.471149444580078,-10.741505813598632,1.1498122924262375,3,1
8,0.02482314109802246,0.005739606214319348,0.00020003318786621094,0.0004000663757324219,6,0.7,20,3,"{'max_depth': 6, 'p_xo': 0.7, 'pop_size': 20, 'tournament_size': 3}",-12.351020812988281,-11.459087371826172,-11.738709449768066,-12.191530227661133,-10.999635696411133,-11.747996711730957,0.490705434170051,11,1
9,0.02027573585510254,0.00602192707397937,0.0,0.0,6,0.7,20,5,"{'max_depth': 6, 'p_xo': 0.7, 'pop_size': 20, 'tournament_size': 5}",-12.351020812988281,-11.011610984802246,-11.644832611083984,-12.676408767700195,-10.226676940917969,-11.582110023498535,0.8894172992758501,9,1
10,0.049084806442260744,0.011804558942825314,0.0,0.0,6,0.7,50,3,"{'max_depth': 6, 'p_xo': 0.7, 'pop_size': 50, 'tournament_size': 3}",-11.750506401062012,-8.74940013885498,-10.814413070678711,-12.39108657836914,-10.860533714294434,-10.913187980651855,1.2312427202795309,6,1
11,0.049707984924316405,0.0022466055597348306,0.0,0.0,6,0.7,50,5,"{'max_depth': 6, 'p_xo': 0.7, 'pop_size': 50, 'tournament_size': 5}",-12.625350952148438,-10.475120544433594,-10.814413070678711,-12.242034912109375,-10.128046989440918,-11.256993293762207,0.9924143972341668,7,1
12,0.0233306884765625,0.009714855337249426,0.0,0.0,6,0.9,20,3,"{'max_depth': 6, 'p_xo': 0.9, 'pop_size': 20, 'tournament_size': 3}",-12.203519821166992,-12.049612045288086,-13.021584510803223,-13.397672653198242,-10.920516014099121,-12.318581008911133,0.8600955540495553,13,1
13,0.02295374870300293,0.007568718703766154,0.0,0.0,6,0.9,20,5,"{'max_depth': 6, 'p_xo': 0.9, 'pop_size': 20, 'tournament_size': 5}",-12.063554763793945,-9.941539764404297,-8.096162796020508,-12.39108657836914,-10.860533714294434,-10.670575523376465,1.5553602539293179,1,1
14,0.050251340866088866,0.011303695561615331,0.0,0.0,6,0.9,50,3,"{'max_depth': 6, 'p_xo': 0.9, 'pop_size': 50, 'tournament_size': 3}",-12.203519821166992,-12.049612045288086,-13.021584510803223,-12.39108657836914,-12.729398727416992,-12.479040336608886,0.35357872679356817,15,1
15,0.04622840881347656,0.006510726808711271,0.0,0.0,6,0.9,50,5,"{'max_depth': 6, 'p_xo': 0.9, 'pop_size': 50, 'tournament_size': 5}",-11.750505447387695,-9.429426193237305,-10.814413070678711,-12.242034912109375,-9.471149444580078,-10.741505813598632,1.1498122924262375,3,1
