,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_initializer,param_max_depth,param_p_xo,param_tournament_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,outer_fold
0,0.39703822135925293,0.10356624996540369,0.0014479637145996093,0.00045763228438247257,grow,6,0.7,3,"{'initializer': 'grow', 'max_depth': 6, 'p_xo': 0.7, 'tournament_size': 3}",-3.0195570351039516,-3.164157214824075,-11.131981972299881,-7.977818705446386,-10.645269340228321,-7.187756853580522,3.512797913116695,5,1
1,0.46153993606567384,0.048683668534165406,0.0015913963317871094,0.0005546701207041317,grow,6,0.7,5,"{'initializer': 'grow', 'max_depth': 6, 'p_xo': 0.7, 'tournament_size': 5}",-16.521032320411383,-11.091917784258351,-3.815161823208815,-11.808743008195266,-26.978015066227286,-14.04297400046022,7.638909912563083,23,1
2,0.37836060523986814,0.06270746320192738,0.0016746044158935547,0.0005424546625171485,grow,6,0.7,7,"{'initializer': 'grow', 'max_depth': 6, 'p_xo': 0.7, 'tournament_size': 7}",-18.235855844887915,-10.836982048228377,-10.752263396738995,-12.528130758663332,-8.451768257363053,-12.161000061176335,3.3025632773556954,17,1
3,0.34827656745910646,0.0499330919310763,0.0016906261444091797,0.0009680766141429325,grow,6,0.9,3,"{'initializer': 'grow', 'max_depth': 6, 'p_xo': 0.9, 'tournament_size': 3}",-10.5347986903112,-9.111931973145763,-8.801915603330015,-3.8332159803697166,-3.9338225116068544,-7.24313695175271,2.8048652663727696,6,1
4,0.3210785388946533,0.05124641043517015,0.0013272285461425782,0.0002683107395188783,grow,6,0.9,5,"{'initializer': 'grow', 'max_depth': 6, 'p_xo': 0.9, 'tournament_size': 5}",-18.518491475529068,-9.7655706723478,-12.129846731129673,-11.779345419239592,-9.344715284181639,-12.307593916485555,3.290179964353834,18,1
5,0.40006437301635744,0.023181935751313366,0.0013901233673095704,0.00036660891132536986,grow,6,0.9,7,"{'initializer': 'grow', 'max_depth': 6, 'p_xo': 0.9, 'tournament_size': 7}",-16.55616606212941,-10.826049948808093,-11.780731985282955,-12.323951039934613,-10.179825510443758,-12.333344909319766,2.2381810327375344,20,1
6,0.3281736373901367,0.04107134622865922,0.001049041748046875,0.0006406889709039897,grow,10,0.7,3,"{'initializer': 'grow', 'max_depth': 10, 'p_xo': 0.7, 'tournament_size': 3}",-3.0195570351039516,-3.164157214824075,-12.426862001898414,-7.977818705446386,-3.9338225116068544,-6.104443493775936,3.642963458199217,2,1
7,0.4025685787200928,0.06657313063121788,0.0011289596557617187,0.0006817397299284233,grow,10,0.7,5,"{'initializer': 'grow', 'max_depth': 10, 'p_xo': 0.7, 'tournament_size': 5}",-16.94688041628756,-11.091917784258351,-5.690643377924769,-11.477705988670241,-26.978015066227286,-14.437032526673642,7.211411912048792,24,1
8,0.380960750579834,0.1607334716106023,0.0011719226837158202,0.0010363814974426583,grow,10,0.7,7,"{'initializer': 'grow', 'max_depth': 10, 'p_xo': 0.7, 'tournament_size': 7}",-8.184985189871414,-9.309158845299585,-10.752263396738995,-12.528130758663332,-7.696274767816594,-9.694162591677983,1.7645596026623573,11,1
9,0.2978681087493896,0.046460061280669845,0.0012163162231445313,0.00021222813982626335,grow,10,0.9,3,"{'initializer': 'grow', 'max_depth': 10, 'p_xo': 0.9, 'tournament_size': 3}",-10.5347986903112,-9.111931973145763,-8.801915603330015,-3.8332159803697166,-3.352366701834372,-7.126845789798213,2.9480589788764417,4,1
10,0.24881978034973146,0.005526277982579527,0.0006013393402099609,0.0004910295412627748,grow,10,0.9,5,"{'initializer': 'grow', 'max_depth': 10, 'p_xo': 0.9, 'tournament_size': 5}",-18.518491475529068,-9.7655706723478,-12.129846731129673,-11.779345419239592,-9.344715284181639,-12.307593916485555,3.290179964353834,18,1
11,0.4832606792449951,0.023438240352112612,0.00071563720703125,0.0005894270811329772,grow,10,0.9,7,"{'initializer': 'grow', 'max_depth': 10, 'p_xo': 0.9, 'tournament_size': 7}",-16.523509336022336,-10.02594473727545,-11.304462558723966,-11.767623475000828,-9.611637770618607,-11.846635575528238,2.4691485569008242,16,1
12,0.3168315887451172,0.04497600889379908,0.0010812759399414062,0.000644000904228243,rhh,6,0.7,3,"{'initializer': 'rhh', 'max_depth': 6, 'p_xo': 0.7, 'tournament_size': 3}",-3.993069422787431,-13.151003267506825,-7.861321642307104,-15.270703314850488,-3.9338225116068544,-8.84198403181174,4.6574628181000595,10,1
13,0.33930983543396,0.07585669111973335,0.000943136215209961,0.0005000790543567761,rhh,6,0.7,5,"{'initializer': 'rhh', 'max_depth': 6, 'p_xo': 0.7, 'tournament_size': 5}",-9.078218185415242,-6.162503426594162,-7.645271128482957,-3.8332159803697166,-3.5919034202812394,-6.062222428228663,2.1299425165483004,1,1
14,0.3296006202697754,0.03697905158769429,0.0013260841369628906,0.00038341090897584066,rhh,6,0.7,7,"{'initializer': 'rhh', 'max_depth': 6, 'p_xo': 0.7, 'tournament_size': 7}",-3.0195570351039516,-7.768110630961124,-6.891680564888126,-7.99170730871391,-27.738227626504496,-10.681856633234322,8.714618527217608,13,1
15,0.27182960510253906,0.01848183347641416,0.0011274337768554688,0.00022126510189270473,rhh,6,0.9,3,"{'initializer': 'rhh', 'max_depth': 6, 'p_xo': 0.9, 'tournament_size': 3}",-3.0195570351039516,-13.168754913336011,-4.683941510064075,-4.870509618829788,-6.069022438141511,-6.362357103095067,3.5392116774986984,3,1
